Kategorie,Frage/Prüfpunkt,Antwort (Ja/Nein),Hinweise
Zielgruppe,Verkauft ihr Produkte direkt an Endkunden (B2C)?,,
Zielgruppe,Gibt es einen Online-Shop oder Buchungsprozess?,,
Zielgruppe,Können Privatpersonen Verträge online abschließen?,,
Zielgruppe,Gibt es ein Self-Service-Kundenportal für Verbraucher?,,
Digitale Leistungen,E-Commerce-Funktionen vorhanden?,,
Digitale Leistungen,Online-Terminbuchung vorhanden?,,
Digitale Leistungen,Digitale Vertragsabschlüsse möglich?,,
Digitale Leistungen,Zahlungsfunktionen vorhanden?,,
Digitale Leistungen,Kundenkonten / Login-Bereich vorhanden?,,
Digitale Leistungen,Mobile App vorhanden?,,
Unternehmensgröße,Weniger als 10 Mitarbeitende?,,
Unternehmensgröße,Jahresumsatz ≤ 2 Mio. € oder Bilanzsumme ≤ 2 Mio. €?,,
Zugänglichkeit,Ist die Website frei zugänglich für Verbraucher?,,
Zugänglichkeit,Könnte ein Verbraucher theoretisch bestellen?,,
Zugänglichkeit,Sind Preise öffentlich sichtbar?,,
Zugänglichkeit,Gibt es keinen klaren Ausschluss von Privatkunden?,,
Technische Anforderungen,Tastaturbedienbarkeit gewährleistet?,,
Technische Anforderungen,Ausreichende Farbkontraste vorhanden?,,
Technische Anforderungen,Screenreader-Kompatibilität gegeben?,,
Technische Anforderungen,Alternativtexte für Bilder vorhanden?,,
Technische Anforderungen,Formulare verständlich gestaltet?,,
Technische Anforderungen,Keine rein visuellen Pflichtinformationen?,,
Strategischer Hinweis,Barrierefreiheit relevant für Ausschreibungen/ESG?,,
Strategischer Hinweis,Barrierefreiheit stärkt Image & Reputation?,,

# Hinweis: Die Datei kann direkt in Excel geöffnet werden.
